,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
89,89,millet flour,444,5.1,0.6,1.1,3.1,86.9,2,12.8,4.2,0,0.056,12.8,0,0.5,0.032,0,0.010,7.2,1.5,0.4,0,0,0.1,0.037,16.7,0.6,4.7,141.6,1.2,339.2,266.6,0.028,3.1,130.4
90,90,triticale flour,439,2.4,0.4,0.2,1,95.1,0,17.1,19,0,0.096,13,0,0.5,0.012,0,0.2,3.7,2.8,0.5,0,0,1.2,0,45.5,0.7,3.4,198.9,5.4,417.3,605.8,0,3.5,182.5
91,91,corn flour white,414,4.2,0.6,1.1,2,87.3,1.8,9.6,7.3,0,0.036,11.2,0,0.3,0.078,0,0.1,1.9,0.2,0.5,0,0,0.1,0,157.3,0.2,1.7,106,0.5,263.3,298.7,0.072,2.1,267.4
92,92,rice flour brown,574,4.4,0.9,1.6,1.6,120.8,1.3,11.4,7.3,0,0.039,18.9,0,0.7,0.056,0,0.1,10,2.5,1.2,0,0,1.9,0,17.4,0.4,3.1,177,6.3,532.5,456.6,0,3.9,164.4
93,93,sorghum flour,437,4,0.6,1.1,1.7,93.7,2.3,9.5,8,0,0.023,12.2,0,0.3,0.058,0,0.014,6.3,1.1,0.4,0,0,0.6,0.079,14.5,0.3,3.6,145.2,1.5,348.5,376.3,0.026,1.7,133.3
94,94,cornmeal whole grain,442,4.4,0.6,1.2,2,93.8,0.8,9.9,8.9,0,0.022,12.5,0,0.5,0.034,0,0.2,4.4,0.5,0.4,0,0,0.5,0.059,7.3,0.2,4.2,154.9,0.6,294,350.1,0.004,2.2,128.5
95,95,cornmeal white,581,2.7,0.3,0.5,1,124.7,2.5,11.2,6.1,0,0.094,17.6,0,0.2,0.089,0,0.016,1.6,0.4,0.3,0,0,0.2,0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.030,1,151.1
96,96,barley flour,511,2.4,0.5,0.3,1.1,110.3,1.2,15.5,14.9,0,0.062,17.9,0,0.5,0.021,0,0.2,9.3,0.2,0.6,0,0,0.8,0.069,47.4,0.5,4,142.1,1.5,438.1,457.3,0.037,3,194.5
97,97,safflower seed meal,97,0.7,0.029,0.099,0.4,13.8,0,10.1,0,0,0.006,1.8,0,0.3,0.022,0,0.1,0.6,1.1,0.3,0,0,0,0,21.8,0.5,1.4,99.1,0.6,180.6,19.2,0,1.4,47.8
98,98,sesame flour,658,46.4,6.5,17.5,20.3,33.3,0,38.5,0,0,0.041,1.1,0,3.4,0.073,0,0.4,16.7,3.7,0.2,0,0,0,0,198.8,1.9,19,451.3,1.9,1008.80,528.8,0,13.3,336.0
99,99,whole grain wheat flour,408,3,0.5,0.3,1.4,86.4,0.5,15.9,12.8,0,0.027,12.9,0,0.6,0.066,0,0.2,5.9,0.7,0.5,0,0,0.9,0.025,40.8,0.5,4.3,164.4,4.9,428.4,435.6,0.045,3.1,163.2
100,100,corn flour yellow,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0,0.040,12.8,0,0.3,0.040,0,0.036,2.2,0.8,0.4,0,0,0.5,0.006,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.012,2,122.0
101,101,corn flour whole grain,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0,0.033,12.8,0,0.3,0.021,0,0.035,2.2,0.8,0.4,0,0,0.5,0.071,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.045,2,122.0
102,102,cottonseed flour low fat,94,0.4,0.082,0.046,0.2,10.2,0,14.1,0,0,0.022,2,0,0.6,0.016,0,0.1,1.1,0.1,0.2,0.7,0,0,0,134.1,0.3,3.6,202.6,0.6,449.1,498.4,0,3.3,163.1
103,103,sunflower seed flour,13,0.013,0.036,0.059,0.077,1.4,0,1.9,0.2,0,0.073,0.3,0,0.1,0.020,0,0.006,0.3,0.3,0.022,0.003,0,0,0,4.6,0.081,0.3,13.8,0.011,27.6,2.7,0.047,0.2,8.557
104,104,sesame meal,160,13.6,1.9,5.1,6,7.4,0,4.8,0,0,0.073,1.4,0,0.7,0.010,0,0.094,3.6,0.8,0.081,0,0,0,0,43.3,0.4,4.1,97.9,0.4,219,114.9,0,2.9,73.2
105,105,acorn flour,626,37.7,4.9,23.9,7.3,68.3,0,9.4,0,0,0,7.5,0,0.2,0.1,0,0.2,3,1.2,0.9,0,0,0,0,53.8,0.8,1.5,137.5,2.2,128.8,890,0,0.8,170.7
106,106,rice flour white,578,2.2,0.6,0.7,0.6,126.6,0.2,9.4,3.8,0,0,18.8,0,0.2,0.058,0,0.014,4.1,1.3,0.7,0,0,0.2,0,15.8,0.2,0.6,55.3,1.9,154.8,120.1,0.062,1.3,158.4
107,107,sesame flour low fat,94,0.5,0.011,0.2,0.2,10,0,14.2,0,0,0.072,2,0,0.7,0.073,0,0.092,3.5,0.8,0.020,0,0,0,0,42.2,0.4,4,95.7,0.4,214.2,112.4,0,2.8,70.9
108,108,potato flour,571,0.5,0.1,0.063,0.2,133,5.6,11,9.4,0,0.042,10.4,0,0,0.4,0.043,0,0.060,5.6,0.8,1.2,6.1,0,0.4,0,104,0.3,2.2,104,0.5,268.8,1601.60,0.031,155.4
109,109,cornmeal yellow,581,2.7,0.3,0.5,1,124.7,2.5,11.2,6.1,0,0.011,17.6,0,0.2,0.072,0,0.085,1.6,0.4,0.3,0,0,0.2,0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.069,1,151.1
110,110,rye flour,364,1.4,0.2,0.2,0.6,78.2,0.9,10,8.2,0,0.061,11.6,0,0.3,0.047,0,0.068,0.8,0.7,0.2,0,0,0.8,0.079,13.3,0.2,0.9,32.6,1.2,132.6,228.5,0.070,1.4,112.0
111,111,arrowroot flour,457,0.1,0.019,0.088,0.036,112.8,0,0.4,4.4,0,0.002,14.6,0,0.013,0.043,0,0,0,0.2,0.032,0,0,0,0,51.2,0.045,0.4,3.8,0.6,6.4,14.1,0,0.067,169.3
112,112,chickpea flour,356,6.2,0.6,1.4,2.7,53.2,10,20.6,9.9,0,0.050,9.5,0,0.4,0.4,0,0.037,1.6,0.6,0.5,0,0,0.8,0.003,41.4,0.8,4.5,152.7,1.5,292.6,778.3,0.079,2.6,135.8
113,113,wheat flour,455,1.2,0.2,0.1,0.5,95.4,0.3,12.9,3.4,0,0.061,14.9,0,1,0.2,0,0.6,7.4,0.5,0.001,0,0,0.095,0.051,18.8,0.2,5.8,27.5,0.9,135,133.8,0.023,0.9,137.5
114,114,cornstarch,488,0.030,0.077,0.046,0.012,116.8,0,0.3,1.2,0,0.093,10.6,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.097,0.6,3.8,0.028,16.6,3.8,0.096,0.081,121.535
115,115,carob flour,13,0.061,0.041,0.088,0.052,5.3,2.9,0.3,2.4,0,0.033,0.2,0,0.090,0.007,0,0.079,0.1,0.038,0.029,0.088,0,0.046,0,20.9,0.088,0.2,3.2,0.019,4.7,49.6,0.087,0.087,29.18
116,116,buckwheat flour,402,3.7,0.8,1.1,1.1,84.7,3.1,15.1,12,0,0.033,13.4,0,0.5,0.035,0,0.2,7.4,0.5,0.7,0,0,0.4,0.044,49.2,0.6,4.9,301.2,2.4,404.4,692.4,0.040,3.7,169.6
117,117,pecan pie,503,27.1,4.9,13.6,7,63.7,0,6,0,106.1,0.3,23.8,0.046,0.2,0.083,0.061,0.2,1,0.6,0.034,0.2,0,0,0,39,0.3,1.8,31.7,0.9,114.7,162.3,0.089,1.2,137.891
118,118,apple pie,331,15.6,3.8,6.7,4.2,46.4,0,3,0,0,0.3,59.1,0.078,0.2,0.020,0,0.1,1.5,0.1,0.009,2.1,0,0,0,8.8,0.020,1.4,8.8,0.2,35,98.8,0.077,0.2,77.358
119,119,vanilla wafer pie crust,935,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15,0.4,0.3,0.071,0.081,0.4,3.7,0.5,0.082,0.2,0.059,5.4,0.028,73.9,0.1,2.9,17.6,0.3,137.3,139,0.009,0.4,236.2
120,120,chocolate pie crust,881,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0,0.9,9.1,0,0.6,0.1,0,0.5,5.6,0.3,0.049,0,0,3.3,0.078,58.2,1.4,7.8,72.8,3.3,218.4,340.3,0.033,3.8,240.2
121,121,apple strudel,195,8,1.5,2.3,3.8,29.2,18.3,2.3,1.6,4.3,0.020,30.9,0.011,0.087,0.082,0.009,0.016,0.2,0.2,0.031,1.2,0,1,0.002,10.7,0.092,0.3,6.4,0.1,23.4,105.8,0.034,0.1,53.359
122,122,chocolate snack cake,200,8,2.4,4.3,0.9,30.2,18.9,1.8,1.6,0,0.2,9.3,0.001,0.051,0.079,0.011,0.013,0.5,0.067,0.068,1,0,0.5,0.080,58,0.2,1.8,18,0.2,43.5,88,0.006,0.5,102.459
123,123,fruit fried pie,404,20.6,3.1,9.5,6.9,54.5,27.4,3.8,3.3,0,0.4,48.1,0.065,0.2,0.046,0.074,0.1,1.8,0.1,0.019,1.7,0,2.2,0.035,28.2,0.094,1.6,12.8,0.3,55,83.2,0.094,0.3,113.776
124,124,pumpkin pie,316,14.4,4.9,5.7,2.8,40.9,0,7,0,65.1,0.3,90.7,0.100,0.1,0.091,0.086,0.3,1.2,0.7,0.077,2.6,0,0,0,145.7,0.1,2,29.5,0.3,151.9,288.3,0.058,0.7,212.686
125,125,corn cake,35,0.2,0.019,0.032,0.098,7.5,2.1,0.7,0.2,0,0.010,0.4,0.013,0.057,0.084,0,0.084,0.5,0.023,0.074,0,0,0,0,1.7,0.040,0.1,10.3,0.2,14.1,14.1,0.082,0.2,10.437
126,126,sponge snack cake,157,4.8,1.7,2.1,0.8,26.9,15.7,1.5,0.4,17.2,0.2,8.2,0.095,0.091,0.096,0.034,0.022,0.7,0.060,0,0.089,0.098,0.3,0.011,10.1,0.060,0.6,3.4,0.1,77.7,29.8,0.029,0.3,44.404
127,127,danish pastry with nuts,280,16.4,3.8,8.9,2.8,29.7,16.8,4.6,1.3,29.9,0.2,13.3,0.054,0.1,0.091,0.088,0.2,1.5,0.5,0.062,1.1,0,0.5,0.018,61.1,0.1,1.2,20.8,0.5,71.5,61.8,0.062,0.6,115.451
128,128,chocolate cream pie,301,19.2,4.9,11,2.4,33.3,0,2.6,2,5,0.1,43.1,0,0.002,0.093,0,0.1,0.7,0.4,0.023,0,0,0,0,35.6,0.078,1.1,20.8,0.2,67.3,125.7,0.016,0.2,93.8
129,129,angel food cake,72,0.2,0.071,0.095,0.1,16.2,0,1.7,0.4,0,0.2,9.3,0,0.095,0.039,0.035,0.1,0.2,0.046,0.058,0,0,0,0,39.2,0.058,0.1,3.4,0.012,90.7,26,0.095,0.055,57.8
130,130,lemon meringue pie,362,16.4,4,7.1,4.2,49.7,0,4.8,0,67.3,0.3,55,0.011,0.1,0.009,0.043,0.2,1.2,0.3,0.034,4.2,0,0,0,15.2,0.086,1.3,7.6,0.2,53.3,82.6,0.059,0.4,91.632
131,131,danish pastry with cinnamon,349,16.7,3.5,10.6,1.6,46.9,0,4.8,0,27.3,0.3,18.4,0.058,0.3,0.072,0.041,0.2,2.2,0.6,0.049,2.6,0,0,0,37,0.079,1.8,14.1,0.4,73.9,95.9,0.028,0.5,109.897
132,132,cinnamon coffeecake,238,13.3,3.3,7.4,1.8,26.6,0,3.9,1.1,18.2,0.2,12.5,0.049,0.1,0.020,0.085,0.1,1,0.4,0.046,0.2,0,0,0,30.8,0.006,1.1,12.5,0.3,61.6,70.1,0.048,0.5,77.089
133,133,cheesecake,257,18,7.9,6.9,1.3,20.4,17.4,4.4,0.3,44,0.4,36.5,0.1,0.061,0.011,0.030,0.2,0.2,0.5,0.100,0.3,0.078,0.4,0.093,40.8,0.039,0.5,8.8,0.1,74.4,72,0.079,0.4,84.8
134,134,fruitcake,139,3.9,0.5,1.8,1.4,26.5,11.8,1.2,1.6,2.2,0.013,10.9,0.060,0.004,0.063,0,0.063,0.3,0.015,0.008,0.2,0,0.4,0.032,14.2,0.082,0.9,6.9,0.067,22.4,65.8,0.033,0.1,48.507
135,135,egg custard,293,12.9,6.1,3.9,1.2,31,31,14.2,0,236.9,0.2,222.4,0.1,0.1,0.025,0.081,0.7,0.3,1.6,0.1,0,0,0.6,0.097,301.7,0.031,1,31,0.070,318.7,417.4,0.016,1.5,360.9
136,136,mince pie,477,17.8,4.4,7.7,4.7,79.2,46.7,4.3,4.3,0,0.4,61.7,0,0.2,0.074,0,0.2,2,0.2,0.1,9.7,0,0.2,0.071,36.3,0.2,2.5,23.1,0.4,69.3,335,0.099,0.4,154.1
137,137,yellow cake with chocolate frosting,546,25.6,8.3,10.4,6.8,79.7,56.5,4.6,2.2,23,0.4,32.2,0,0.032,0,0,0.1,1.2,0.2,0,0,0,6.5,0.089,46.1,0.2,2.9,28.8,0.3,198.7,269.3,0.084,0.6,161.1
138,138,danish pastry with fruit,335,15.9,3.3,10.1,1.6,45.1,0,4.8,0,18.8,0.3,27.3,0.043,0.3,0.093,0.016,0.2,1.8,0.6,0.005,1.6,0,0,0,21.6,0.059,1.4,14.1,0.2,68.6,110,0.052,0.5,90.454
139,139,white cake with coconut frosting,399,11.5,4.4,4.1,2.4,70.8,64.3,4.9,1.1,1.1,0.3,23.2,0.015,0.1,0.058,0.091,0.2,1.2,0.2,0.026,0.1,0.047,0.1,0.019,100.8,0.031,1.3,13.4,0.3,78.4,110.9,0.093,0.4,190.574
140,140,danish pastry with cheese,353,24.6,5.1,15.6,2.4,28.7,0,5.8,0,20,0.3,30.8,0.057,0.3,0.035,0.095,0.2,2.5,0.6,0.082,2.6,0,0,0,70.1,0.004,1.8,15.5,0.4,80.1,116.5,0.015,0.6,133.666
141,141,graham cracker pie crust,917,45.4,9.1,31,3.1,117.7,33.2,9.3,3.5,0,0.9,8,0,0.3,0.1,0,0.4,5.9,0.3,0.1,0,0,3.4,0.058,53.1,0.4,4.8,42.1,2.4,214.1,206.8,0.039,2.3,233.8
142,142,blueberry pie,360,17.5,4.3,7.5,4.5,49.2,0,4,0,0,0.3,75.3,0,0.2,0.073,0,0.2,1.8,0.2,0.015,1,0,0,0,10.3,0.081,1.8,11.8,0.4,44.1,73.5,0.059,0.3,83.8
143,143,yellow cake with vanilla frosting,239,9.3,1.5,3.9,3.3,37.6,0,2.2,0.2,35.2,0.2,14.1,0.027,0.018,0.064,0.016,0.099,0.3,0.2,0.001,0,0,0,0,39.7,0.017,0.7,3.8,0.089,91.5,33.9,0.020,0.2,89.788
144,144,pie crust,121,8,2,3.5,2.1,10.9,0.045,1.5,0.4,0,0.1,2.3,0,0.004,0.004,0,0.088,0.8,0.048,0.075,0,0,0.033,0.038,2.3,0.079,0.7,3.2,0.061,15.4,15.4,0.096,0.1,23.8
145,145,chocolate cake with chocolate frosting,537,27.7,8.2,10.1,6.4,72.9,55.1,4.8,3,30.4,0.5,30.4,0.095,0,0.098,0,0.061,1.1,0.3,0,0.1,0,6,0.020,41.4,0.3,4.2,42.8,0.5,189.1,372.6,0.084,0.8,154.164
146,146,cheese coffeecake,258,11.6,4.1,5.4,1.3,33.7,0,5.3,0.8,64.6,0.3,24.5,0.082,0.098,0.001,0.049,0.070,0.5,0.3,0.086,0.041,0,0,0,44.8,0.074,0.5,11.4,0.1,76.8,219.6,0.075,0.4,96.831
147,147,vanilla cream pie,350,18.1,5.1,7.6,4.3,41.1,16,6,0.8,78.1,0.3,59.2,0.1,0.2,0.064,0.086,0.3,1.2,0.5,0.006,0.6,0.076,0.6,0.010,113.4,0.018,1.3,16.4,0.2,131,158.8,0.024,0.7,181.4
148,148,pineapple cake,367,13.9,3.4,6,3.8,58.1,0,4,0.9,25.3,0.4,37.1,0.078,0.2,0.069,0.091,0.2,1.4,0.2,0.029,1.4,0,0,0,138,0.1,1.7,15,0.4,94.3,128.8,0.094,0.4,218.024
149,149,peach pie,262,11.7,1.8,5,4.4,38.5,19,2.2,0.9,0,0.3,63.6,0.060,0.025,0.089,0,0.082,0.2,0.1,0.047,1.1,0,1.1,0.023,9.4,0.082,0.6,7,0.2,25.7,146.3,0.025,0.1,64.447
150,150,fruit coffeecake,156,5.1,1.2,2.8,0.7,25.8,0,2.6,1.3,3.5,0.2,15.9,0,0.089,0.042,0,0.037,1.3,0.3,0.013,0.4,0,0,0,22.5,0.020,1.2,8.5,0.1,59,45,0.056,0.3,58.9
151,151,pound cake,116,6,3.5,1.8,0.3,14.6,0,1.7,0.2,66.3,0.1,7.4,0.090,0.059,0.055,0.088,0.048,0.4,0.1,0.087,0,0,0,0,10.5,0.021,0.4,3.3,0.046,41.1,35.7,0.092,0.1,33.47
152,152,pound cake bread,215,9.6,1.7,2.4,5.2,28.2,10,3.9,0.9,0,0.2,12.3,0,0.041,0,0,0.028,2.6,0.3,0.080,0,0,0.8,0,25.3,0.077,1.2,10.5,0.1,165,115.5,0.020,0.3,69.1
153,153,white cake,264,9.2,2.4,3.9,2.3,42.3,26.3,4,0.6,1.5,0.2,17.2,0.043,0.1,0.037,0.070,0.2,1.1,0.1,0.020,0.1,0,0.073,0.040,96.2,0.003,1.1,8.9,0.1,68.8,70.3,0.033,0.2,153.59
154,154,coffeecake with chocolate frosting,298,9.7,2.5,5.1,1.3,48.4,0,4.5,1.8,62.1,0.3,26.2,0.041,0.006,0.036,0.010,0.024,0.8,0.4,0.051,0.015,0,0,0,34.2,0.056,0.5,13.5,0.2,67.5,70.2,0.034,0.4,99.233
155,155,popcorn cake,38,0.3,0.074,0.060,0.1,8,0.001,1,0.3,0,0.050,0.5,0,0.079,0.068,0,0.060,0.6,0.002,0.076,0,0,0.073,0.005,0.9,0.067,0.2,15.9,0.037,27.7,32.7,0.079,0.4,10.7
156,156,banana cream pie,3190,161.3,44.6,67.8,39,390.2,143,52.2,8.3,604.9,2.8,568.1,0.7,1.6,0.3,0.006,2.5,12.5,4.6,1.6,19,0.009,4.7,0.069,889.5,0.6,12.3,189.8,1.8,1091.10,1956.90,0.1,5.7,1533.5
157,157,baked apple pie mcdonalds,91,4.4,1.1,2.6,0.3,12.3,4.9,0.9,0.6,0,0.076,10.5,0,0.093,0.053,0,0.045,0.7,0.036,0.027,9.1,0,0.5,0,5.4,0.030,0.6,2,0.071,10.2,17.8,0,0.000,33.3
158,158,sponge cake,187,2.7,0.8,1,0.4,36.4,0,4.6,0,107.1,0.1,18.5,0.071,0.1,0.076,0.056,0.2,0.8,0.3,0.070,0,0,0,0,26.5,0.076,1,5.7,0.1,63,88.8,0.034,0.4,71.264
159,159,yellow cake,245,9.9,2.7,4.2,2.4,36,0,3.6,0.5,36.7,0.2,17.1,0.094,0.1,0.086,0.016,0.2,1,0.2,0.038,0.1,0,0,0,99.3,0.099,1.1,8.2,0.1,79.6,61.9,0.037,0.3,150.51
160,160,shortcake,98,4,1.1,1.7,1,13.7,0,1.7,0,0.8,0.1,8,0.005,0.058,0.027,0.099,0.039,0.7,0.005,0.055,0.070,0,0,0,58,0.076,0.7,4.5,0.080,40.5,30,0.097,0.1,78.182
161,161,cherry pie,486,22,5.4,9.6,5.8,69.3,0,5,0,0,0.3,82.4,0.027,0.3,0.081,0,0.2,2.3,0.2,0.016,1.8,0,0,0,18,0.1,3.3,16.2,0.4,54,138.6,0.011,0.4,119.444
162,162,dutch apple pie,397,15.8,3.2,7.9,2.9,61,30.2,3,2.2,0,0.3,56.3,0.008,0.3,0.033,0,0.070,1.5,0.1,0.000,7.8,0,1.3,0.071,19.2,0.2,1.2,11,0.3,39.7,104.1,0.038,0.3,110.281
163,163,chocolate cake,352,14.3,5.2,5.7,2.6,50.7,0,5,1.5,55.1,0.3,23.2,0,0.1,0.012,0.027,0.2,1.1,0.3,0.038,0.2,0,0,0,57,0.2,1.5,30.4,0.3,100.7,133,0.019,0.7,130.2
