date,description,href,rating,season,title,votes
1988-11-27,Capt. Pike is held prisoner and tested by aliens who have the power to project incredibly lifelike illusions.,/title/tt0059753/?ref_=ttep_ep1,7.7,1,The Cage,5100
1966-09-08,Dr. McCoy discovers his old flame is not what she seems after crew members begin dying from a sudden lack of salt in their bodies.,/title/tt0708469/?ref_=ttep_ep2,7.3,1,The Man Trap,3892
1966-09-15,Captain Kirk must learn the limits to the power of a 17-year-old boy with the psychic ability to create anything and destroy anyone.,/title/tt0708424/?ref_=ttep_ep3,7.1,1,Charlie X,3670
1966-09-22,The flight recorder of the 200-year-old U.S.S. Valiant relays a tale of terror--a magnetic storm at the edge of the galaxy!,/title/tt0061027/?ref_=ttep_ep4,7.8,1,Where No Man Has Gone Before,4570
1966-09-29,The crew is infected with a mysterious disease that removes people's emotional inhibitions to a dangerous degree.,/title/tt0708473/?ref_=ttep_ep5,7.9,1,The Naked Time,3445
1966-10-06,"A transporter malfunction splits Captain Kirk into two halves: one meek and indecisive, the other violent and ill tempered. The remaining crew members stranded on the planet cannot be beamed up to the ship until a problem is fixed.",/title/tt0708463/?ref_=ttep_ep6,7.7,1,The Enemy Within,3282
1966-10-13,The Enterprise picks up untrustworthy entrepreneur Harry Mudd accompanied by three beautiful women who immediately put a spell on all the male crew members.,/title/tt0708439/?ref_=ttep_ep7,6.8,1,Mudd's Women,3210
1966-10-20,Nurse Chapel is reunited with her fiancï¿½; but his new obsession leads him to make an android duplicate of Captain Kirk.,/title/tt0708486/?ref_=ttep_ep8,7.5,1,What Are Little Girls Made Of?,3056
1966-10-27,"The Enterprise discovers a planet exactly like Earth, but the only inhabitants are children who contract a fatal disease upon entering puberty.",/title/tt0394905/?ref_=ttep_ep9,7.1,1,Miri,3038
1966-11-03,Kirk and psychiatrist Helen Noel are trapped on a maximum security penal colony that experiments with mind control and Spock must use the Vulcan mind-meld to find a way to save them.,/title/tt0708426/?ref_=ttep_ep10,7.5,1,Dagger of the Mind,2870
1966-11-10,"After the Enterprise is forced to destroy a dangerous marker buoy, a gigantic alien ship arrives to capture and condemn the crew as trespassers.",/title/tt0708458/?ref_=ttep_ep11,8.1,1,The Corbomite Maneuver,3219
1966-11-17,"Spock kidnaps the crippled Capt. Pike, hijacks the Enterprise and then surrenders for court martial.",/title/tt0394904/?ref_=ttep_ep12,8.4,1,The Menagerie: Part I,3171
1966-11-24,"At Spock's court martial, he explains himself with mysterious footage about when Capt. Pike was kidnapped by powerful illusion casting aliens.",/title/tt0708472/?ref_=ttep_ep13,8.3,1,The Menagerie: Part II,3073
1966-12-08,"While Captain Kirk investigates whether an actor is actually a presumed dead mass murderer, a mysterious assailant is killing the people who could identify the fugitive.",/title/tt0394903/?ref_=ttep_ep14,7.2,1,The Conscience of the King,2789
1966-12-15,The Enterprise must decide on its response when a Romulan ship makes a destructively hostile armed probe of Federation territory.,/title/tt0708420/?ref_=ttep_ep15,8.9,1,Balance of Terror,3710
1966-12-29,"The past three months has left the crew of the Enterprise exhausted and in desperate need of a break, but does this explain McCoy's encounter with a human-sized white rabbit or Kirk crossing paths with the prankster who plagued his days at Starfleet Academy?",/title/tt0708446/?ref_=ttep_ep16,7.6,1,Shore Leave,2957
1967-01-05,"The Galileo, under Spock's command, crash-lands on a hostile planet. As the Enterprise races against time to find the shuttlecraft, Spock's strictly logical leadership clashes with the fear and resentment of his crew.",/title/tt0708465/?ref_=ttep_ep17,7.7,1,The Galileo Seven,2834
1967-01-12,A being that controls matter and creates planets wants to play with the Enterprise crew.,/title/tt0708478/?ref_=ttep_ep18,7.4,1,The Squire of Gothos,2770
1967-01-19,"For bringing hostility into their solar system, a superior alien race brings Captain Kirk in mortal combat against the reptilian captain of an alien ship he was pursuing.",/title/tt0708418/?ref_=ttep_ep19,8.0,1,Arena,3005
1967-01-26,The Enterprise is thrown back in time to 1960s Earth.,/title/tt0708484/?ref_=ttep_ep20,8.0,1,Tomorrow Is Yesterday,2854
1967-02-02,Kirk draws a court martial in the negligent death of a crewman.,/title/tt0708425/?ref_=ttep_ep21,7.5,1,Court Martial,2650
1967-02-09,"Seeking the answer to a century-old mystery, Kirk and crew encounter a vacantly peaceful society under a 6000-year autocratic rule that kills all those it can't absorb.",/title/tt0708476/?ref_=ttep_ep22,7.2,1,The Return of the Archons,2573
1967-02-16,"While on patrol in deep space, Captain Kirk and his crew find and revive a genetically engineered world conqueror and his compatriots from Earth's 20th century.",/title/tt0708447/?ref_=ttep_ep23,8.8,1,Space Seed,3647
1967-02-23,Kirk and Spock must save their ship's crew when they are declared all killed in action in a bizarre computer simulated war where the actual deaths must occur to continue.,/title/tt0708414/?ref_=ttep_ep24,8.1,1,A Taste of Armageddon,2773
1967-03-02,"The Enterprise investigates a planet whose colonists should be dead, but are not.",/title/tt0708483/?ref_=ttep_ep25,8.0,1,This Side of Paradise,2712
1967-03-09,"The Enterprise is sent to a mining colony that is being terrorized by a mysterious monster, only to find that the situation is not that simple.",/title/tt0708460/?ref_=ttep_ep26,8.4,1,The Devil in the Dark,2925
1967-03-23,"With a war with Klingons raging, Kirk and Spock attempt to resist an occupation of a planet with incomprehensibly placid natives.",/title/tt0708429/?ref_=ttep_ep27,8.2,1,Errand of Mercy,2668
1967-03-30,"Existence itself comes under threat from a man's power-struggle with his alternate self, with the Enterprise's strained dilithium crystals presenting his key to a final solution.",/title/tt0708451/?ref_=ttep_ep28,5.8,1,The Alternative Factor,2601
1967-04-06,"When a temporarily insane Dr. McCoy accidentally changes history and destroys his time, Kirk and Spock follow him to prevent the disaster, but the price to do so is high.",/title/tt0708455/?ref_=ttep_ep29,9.3,1,The City on the Edge of Forever,4393
1967-04-13,The Enterprise crew attempts to stop a plague of amoeba-like creatures from possessing human hosts and spreading throughout the galaxy.,/title/tt0708441/?ref_=ttep_ep30,7.6,1,Operation - Annihilate!,2430
1967-09-15,"In the throes of his Pon Farr mating period, Spock must return to Vulcan to meet his intended future wife, betrothed from childhood.",/title/tt0708416/?ref_=ttep_ep1,8.7,2,Amok Time,3175
1967-09-22,A powerful being claiming to be the Greek god Apollo appears and demands that the crew of the Enterprise disembark onto his planet to worship him.,/title/tt0708488/?ref_=ttep_ep2,7.2,2,Who Mourns for Adonais?,2674
1967-09-29,"A powerful artificially intelligent Earth probe, with a murderously twisted imperative, comes aboard the Enterprise and mistakes Capt. Kirk for its creator.",/title/tt0708454/?ref_=ttep_ep3,7.7,2,The Changeling,2422
1967-10-06,"A transporter accident places Captain Kirk's landing party in an alternate universe, where the Enterprise is in the service of a barbarically brutal empire.",/title/tt0708438/?ref_=ttep_ep4,9.1,2,"Mirror, Mirror",3434
1967-10-13,"Primitive inhabitants of Gamma Trianguli VI worship a God who orders them to kill visitors, from the Enterprise.",/title/tt0708452/?ref_=ttep_ep5,6.4,2,The Apple,2342
1967-10-20,The USS Enterprise encounters the wrecked USS Constellation and its distraught commodore who's determined to stop the giant planet-destroying robot ship that killed his crew.,/title/tt0708461/?ref_=ttep_ep6,8.8,2,The Doomsday Machine,3039
1967-10-27,"Very alien visitors to our galaxy attempt to connect with human consciousness but miss, winding up tapping into the regions of human nightmares instead.",/title/tt0708423/?ref_=ttep_ep7,6.3,2,Catspaw,2379
1967-11-03,Harry Mudd returns with a plot to take over the Enterprise by stranding the crew on a planet populated by androids under his command.,/title/tt0708432/?ref_=ttep_ep8,7.5,2,"I, Mudd",2480
1967-11-10,"While returning to the Enterprise aboard the shuttlecraft, Kirk, Spock, McCoy and a seriously ill Federation diplomat find themselves kidnapped by an energized cloud.",/title/tt0708436/?ref_=ttep_ep9,7.3,2,Metamorphosis,2399
1967-11-17,"The Enterprise hosts a number of quarrelling diplomats, including Spock's father, but someone on board has murder in mind.",/title/tt0708434/?ref_=ttep_ep10,8.6,2,Journey to Babel,2663
1967-12-01,The Federation clashes with the Klingon Empire over mining rights to Capella IV. A sudden coup between its warrior-minded inhabitants forces Kirk's party to flee with the now dead leader's pregnant wife.,/title/tt0708431/?ref_=ttep_ep11,6.9,2,Friday's Child,2249
1967-12-08,A landing party from the Enterprise is exposed to strange form of radiation which rapidly ages them.,/title/tt0708459/?ref_=ttep_ep12,7.4,2,The Deadly Years,2256
1967-12-15,Capt. Kirk obsessively hunts for a mysterious cloud creature he encountered in his youth.,/title/tt0708440/?ref_=ttep_ep13,7.3,2,Obsession,2173
1967-12-22,Kirk and the Enterprise computer become detectives after Scotty is accused of murdering women on a pleasure planet.,/title/tt0708491/?ref_=ttep_ep14,7.4,2,Wolf in the Fold,2276
1967-12-29,"To protect a space station with a vital grain shipment, Kirk must deal with Federation bureaucrats, a Klingon battle cruiser and a peddler who sells furry, purring, hungry little creatures as pets.",/title/tt0708480/?ref_=ttep_ep15,8.9,2,The Trouble with Tribbles,3337
1968-01-05,"Kirk, Uhura and Chekov are trapped on a planet where abducted aliens are enslaved and trained to perform as gladiators for the amusement of bored, faceless aliens.",/title/tt0708466/?ref_=ttep_ep16,7.1,2,The Gamesters of Triskelion,2316
1968-01-12,The crew of the Enterprise struggles to cope with a planet of imitative people who have modeled their society on 1920s gangsters.,/title/tt0708412/?ref_=ttep_ep17,7.8,2,A Piece of the Action,2534
1968-01-19,The Enterprise encounters a gigantic energy draining space organism that threatens the galaxy.,/title/tt0708467/?ref_=ttep_ep18,7.6,2,The Immunity Syndrome,2171
1968-02-02,"Peaceful, primitive peoples get caught up in the struggle between superpowers, with Kirk unhappily trying to restore the balance of power disrupted by the Klingons.",/title/tt0708413/?ref_=ttep_ep19,6.9,2,A Private Little War,2155
1968-02-09,"The Enterprise is guided to a distant, long-dead world where survivors of an extremely ancient race - existing only as disembodied energy - desiring the bodies of Kirk, Spock and astro-biologist Ann Mulhall so that they may live again.",/title/tt0708445/?ref_=ttep_ep20,7.6,2,Return to Tomorrow,2173
1968-02-16,"Looking for a missing Federation cultural observer, Kirk and Spock find themselves on a planet whose culture has been completely patterned after Nazi Germany.",/title/tt0708442/?ref_=ttep_ep21,7.6,2,Patterns of Force,2285
1968-02-23,Galactic alien scouts capture the Enterprise for a return voyage and a prelude to invasion. Kirk's one advantage - they're not used to their adopted human form.,/title/tt0708422/?ref_=ttep_ep22,7.7,2,By Any Other Name,2228
1968-03-01,"Responding to a distress signal, Kirk finds Captain Tracey of the U.S.S. Exeter violating the prime directive and interfering with a war between the Yangs and the Kohms to find the secret of their longevity.",/title/tt0708474/?ref_=ttep_ep23,6.2,2,The Omega Glory,2251
1968-03-08,"Kirk and a sub-skeleton crew are ordered to test out an advanced artificially intelligent control system - the M-5 Multitronic system, which could potentially render them all redundant.",/title/tt0708481/?ref_=ttep_ep24,8.1,2,The Ultimate Computer,2280
1968-03-15,The Enterprise crew investigates the disappearance of a ship's crew on a planet that is a modern version of the Roman Empire.,/title/tt0708421/?ref_=ttep_ep25,7.2,2,Bread and Circuses,2185
1968-03-29,"While back in time observing Earth in 1968, the Enterprise crew encounters the mysterious Gary Seven who has his own agenda on the planet.",/title/tt0708419/?ref_=ttep_ep26,7.6,2,Assignment: Earth,2428
1968-09-20,The crew of the Enterprise pursues a mysterious woman who has abducted Spock's brain.,/title/tt0708449/?ref_=ttep_ep1,5.7,3,Spock's Brain,2391
1968-09-27,An apparently insane Capt. Kirk has the Enterprise deliberately enter the Romulan Neutral Zone where the ship is immediately captured by the enemy.,/title/tt0708464/?ref_=ttep_ep2,8.5,3,The Enterprise Incident,2549
1968-10-04,"Trapped on a planet whose inhabitants are descended from Northwestern Native Americans, Kirk loses his memory and is proclaimed a God while the crippled Enterprise races back to the planet before it is destroyed by an asteroid.",/title/tt0708475/?ref_=ttep_ep3,6.8,3,The Paradise Syndrome,2209
1968-10-11,The Enterprise reaches a Federation colony where the adults have all killed themselves but the children play without care.,/title/tt0708417/?ref_=ttep_ep4,5.2,3,And the Children Shall Lead,2250
1968-10-18,"Lovely telepath Miranda is aide to Ambassador Kollos, in a box to stop insanity when humans see Medusans. She rejects Larry, a designer of Enterprise, and senses murderous intent nearby.",/title/tt0708433/?ref_=ttep_ep5,7.0,3,Is There in Truth No Beauty?,2093
1968-10-25,"As punishment for ignoring their warning and trespassing on their planet, the Melkot condemn Capt. Kirk and his landing party to the losing side of a surreal recreation of the 1881 historic gunfight at the OK Corral.",/title/tt0708448/?ref_=ttep_ep6,7.3,3,Spectre of the Gun,2216
1968-11-01,Both humans and Klingons have been lured to a planet by a formless entity that feeds on hatred and has set about to fashion them into a permanent food supply for itself.,/title/tt0708427/?ref_=ttep_ep7,7.9,3,Day of the Dove,2194
1968-11-08,The Enterprise discovers an apparent asteroid that is on a collision course with a planet is actually an ancient populated generation ship.,/title/tt0708430/?ref_=ttep_ep8,7.2,3,For the World Is Hollow and I Have Touched the Sky,2038
1968-11-15,"With Capt. Kirk and the derelict USS Defiant apparently lost, the Enterprise grapples with an insanity causing plague and an attack by the Tholians.",/title/tt0708479/?ref_=ttep_ep9,8.1,3,The Tholian Web,2227
1968-11-22,"After Dr. McCoy helps the leader of a planet populated by people with powerful psionic abilities, they decide to force him to stay by torturing his comrades until he submits.",/title/tt0708443/?ref_=ttep_ep10,6.6,3,Plato's Stepchildren,2116
1968-11-29,A group of aliens who exist in a state of incredible acceleration invade the Enterprise and abduct Capt. Kirk.,/title/tt0708490/?ref_=ttep_ep11,7.4,3,Wink of an Eye,2034
1968-12-06,"Trapped in an alien laboratory, Kirk, Spock and McCoy meet an empath and are involved in a series of experiments.",/title/tt0708462/?ref_=ttep_ep12,6.6,3,The Empath,2134
1968-12-20,"While transporting an arrogant, demanding princess for a political marriage, Captain Kirk must cope both with her biochemical ability to force him to love her and sabotage on his ship.",/title/tt0708428/?ref_=ttep_ep13,7.1,3,Elaan of Troyius,2054
1969-01-03,"Kirk and Spock are taken prisoners by a former starship captain named Garth, who now resides at, and has taken over, a high security asylum for the criminally insane.",/title/tt0708489/?ref_=ttep_ep14,7.0,3,Whom Gods Destroy,1986
1969-01-10,The Enterprise encounters two duo-chromatic and mutually belligerent aliens who put the ship in the middle of their old conflict.,/title/tt0708435/?ref_=ttep_ep15,7.3,3,Let That Be Your Last Battlefield,2132
1969-01-17,Kirk beams down to the planet Gideon and appears to find himself trapped on a deserted Enterprise. Spock on the real Enterprise must use his diplomatic skills to deal with the uncooperative inhabitants of Gideon and find the Captain.,/title/tt0708470/?ref_=ttep_ep16,6.6,3,The Mark of Gideon,1939
1969-01-24,"After the Enterprise landing party beams down to investigate a geologically interesting planet, their ship is hurled across the galaxy. Kirk and company find a deserted outpost guarded by the deadly image of a beautiful woman.",/title/tt0708450/?ref_=ttep_ep17,6.6,3,That Which Survives,1908
1969-01-31,"A mysterious, twinkling mass of sapient energy ravages an important archive and Scotty's new girlfriend may be linked to it.",/title/tt0708468/?ref_=ttep_ep18,6.2,3,The Lights of Zetar,1869
1969-02-14,"On a planet, looking for an urgent medicinal cure, Kirk, Spock and McCoy come across a dignified recluse living privately but in splendor with his sheltered ward and a very protective robot servant.",/title/tt0708444/?ref_=ttep_ep19,7.5,3,Requiem for Methuselah,2105
1969-02-21,"A group of idealistic hippies, led by an irrational leader, come aboard the U.S.S. Enterprise.",/title/tt0708482/?ref_=ttep_ep20,5.5,3,The Way to Eden,2240
1969-02-28,Kirk and Spock are caught up in a revolution on a planet where intellectuals and artists live on a utopian city in the sky while the rest of the population toils in mines on the barren surface below.,/title/tt0708456/?ref_=ttep_ep21,7.1,3,The Cloud Minders,1949
1969-03-07,"Kirk, Spock, Abraham Lincoln and Vulcan legend Surak are pitted in battle against notorious villains from history for the purpose of helping a conscious rock creature's understanding of a concept he does not understand, ""good vs. evil"".",/title/tt0708477/?ref_=ttep_ep22,6.8,3,The Savage Curtain,1977
1969-03-14,"When Kirk, Spock and McCoy investigate the disappearance of a doomed planet's population, they find themselves trapped in different periods of that world's past.",/title/tt0708415/?ref_=ttep_ep23,8.3,3,All Our Yesterdays,2283
1969-06-03,Captain Kirk's insane ex-lover Dr. Janice Lester forcibly switches bodies with him in order to take command of the Enterprise.,/title/tt0708485/?ref_=ttep_ep24,6.9,3,Turnabout Intruder,1994
